,damage taken,direction,encounter,month of departure
19673,33%,northbound,sharks,1/1405
19674,67%,northbound,crabmonsters,1/1405
19675,16%,southbound,pirates,1/1405
19676,52%,northbound,merpeople,1/1405
19677,64%,southbound,merpeople,1/1405
19678,31%,southbound,sharks,1/1405
19679,16%,northbound,pirates,1/1405
19680,22%,southbound,sharks,1/1405
19681,41%,northbound,pirates,1/1405
19682,39%,northbound,pirates,1/1405
19683,77%,southbound,water elemental,1/1405
19684,8%,southbound,sharks,1/1405
19685,21%,southbound,sharks,1/1405
19686,26%,southbound,merpeople,1/1405
19687,13%,southbound,harpy,1/1405
19688,28%,northbound,sharks,1/1405
19689,100%+,southbound,unknown,1/1405
19690,8%,southbound,harpy,1/1405
19691,80%,northbound,nessie,1/1405
19692,84%,northbound,nessie,1/1405
19693,34%,northbound,sharks,1/1405
19694,54%,southbound,kraken,1/1405
19695,22%,northbound,pirates,1/1405
19696,49%,southbound,merpeople,1/1405
19697,38%,southbound,sharks,1/1405
19698,18%,northbound,sharks,1/1405
19699,32%,northbound,sharks,1/1405
19700,51%,northbound,merpeople,1/1405
19701,81%,southbound,nessie,1/1405
19702,13%,northbound,harpy,1/1405
19703,15%,northbound,pirates,1/1405
19704,65%,northbound,kraken,1/1405
19705,100%+,southbound,unknown,1/1405
19706,56%,southbound,pirates,1/1405
19707,23%,southbound,merpeople,1/1405
19708,59%,northbound,kraken,1/1405
19709,56%,northbound,merpeople,1/1405
19710,82%,southbound,water elemental,1/1405
19711,98%,southbound,demon whale,1/1405
19712,17%,southbound,pirates,1/1405
19713,13%,southbound,harpy,1/1405
19714,18%,northbound,sharks,1/1405
19715,23%,southbound,pirates,1/1405
19716,42%,northbound,sharks,1/1405
19717,100%+,southbound,unknown,1/1405
19718,76%,northbound,nessie,1/1405
19719,43%,northbound,pirates,1/1405
19720,49%,northbound,kraken,1/1405
19721,100%+,southbound,unknown,1/1405
19722,59%,northbound,kraken,1/1405
19723,100%+,northbound,unknown,1/1405
19724,27%,southbound,merpeople,1/1405
19725,20%,northbound,sharks,1/1405
19726,34%,southbound,sharks,1/1405
19727,77%,northbound,water elemental,1/1405
19728,19%,southbound,pirates,1/1405
19729,83%,northbound,water elemental,1/1405
19730,30%,northbound,sharks,1/1405
19731,38%,southbound,pirates,1/1405
19732,62%,northbound,merpeople,1/1405
19733,55%,northbound,merpeople,1/1405
19734,100%+,southbound,unknown,1/1405
19735,21%,southbound,pirates,1/1405
19736,74%,southbound,water elemental,1/1405
19737,10%,southbound,harpy,1/1405
19738,18%,southbound,merpeople,1/1405
19739,24%,southbound,sharks,1/1405
19740,100%+,southbound,unknown,1/1405
19741,33%,northbound,sharks,1/1405
19742,19%,northbound,harpy,1/1405
19743,41%,northbound,sharks,1/1405
19744,13%,northbound,pirates,1/1405
19745,25%,northbound,pirates,1/1405
19746,17%,southbound,sharks,1/1405
19747,51%,southbound,kraken,1/1405
19748,80%,northbound,water elemental,1/1405
19749,100%+,northbound,unknown,1/1405
19750,46%,northbound,kraken,1/1405
19751,100%+,northbound,unknown,1/1405
19752,60%,northbound,merpeople,1/1405
19753,36%,northbound,sharks,1/1405
19754,32%,southbound,crabmonsters,1/1405
19755,100%+,northbound,unknown,1/1405
19756,60%,northbound,kraken,1/1405
19757,42%,southbound,pirates,1/1405
19758,25%,northbound,pirates,1/1405
19759,53%,southbound,kraken,1/1405
19760,74%,southbound,water elemental,1/1405
19761,30%,southbound,crabmonsters,1/1405
19762,35%,southbound,sharks,1/1405
19763,54%,northbound,merpeople,1/1405
19764,14%,southbound,harpy,1/1405
19765,43%,northbound,crabmonsters,1/1405
19766,53%,northbound,kraken,1/1405
19767,77%,northbound,nessie,1/1405
19768,82%,southbound,water elemental,1/1405
19769,47%,northbound,merpeople,1/1405
19770,15%,southbound,merpeople,1/1405
19771,81%,northbound,water elemental,1/1405
19772,100%+,southbound,unknown,1/1405
19773,34%,southbound,merpeople,1/1405
19774,100%+,southbound,unknown,1/1405
19775,40%,southbound,merpeople,1/1405
19776,100%+,southbound,unknown,1/1405
19777,25%,southbound,sharks,1/1405
19778,71%,northbound,kraken,1/1405
19779,65%,southbound,kraken,1/1405
19780,78%,southbound,water elemental,1/1405
19781,17%,northbound,pirates,2/1405
19782,67%,northbound,kraken,2/1405
19783,22%,northbound,pirates,2/1405
19784,39%,northbound,kraken,2/1405
19785,20%,southbound,pirates,2/1405
19786,58%,northbound,merpeople,2/1405
19787,8%,southbound,harpy,2/1405
19788,100%+,northbound,unknown,2/1405
19789,38%,northbound,merpeople,2/1405
19790,97%,southbound,nessie,2/1405
19791,100%+,northbound,unknown,2/1405
19792,100%+,southbound,unknown,2/1405
19793,20%,northbound,pirates,2/1405
19794,11%,southbound,harpy,2/1405
19795,48%,southbound,merpeople,2/1405
19796,58%,northbound,kraken,2/1405
19797,63%,southbound,kraken,2/1405
19798,26%,southbound,pirates,2/1405
19799,22%,southbound,sharks,2/1405
19800,32%,northbound,sharks,2/1405
19801,15%,northbound,harpy,2/1405
19802,92%,northbound,nessie,2/1405
19803,100%+,southbound,unknown,2/1405
19804,20%,southbound,merpeople,2/1405
19805,79%,northbound,water elemental,2/1405
19806,57%,northbound,merpeople,2/1405
19807,35%,southbound,sharks,2/1405
19808,82%,southbound,water elemental,2/1405
19809,53%,southbound,kraken,2/1405
19810,14%,northbound,pirates,2/1405
19811,8%,northbound,harpy,2/1405
19812,33%,southbound,sharks,2/1405
19813,13%,northbound,harpy,2/1405
19814,73%,northbound,nessie,2/1405
19815,52%,northbound,merpeople,2/1405
19816,10%,northbound,pirates,2/1405
19817,58%,southbound,merpeople,2/1405
19818,28%,northbound,sharks,2/1405
19819,55%,southbound,crabmonsters,2/1405
19820,32%,southbound,sharks,2/1405
19821,79%,southbound,water elemental,2/1405
19822,44%,southbound,pirates,2/1405
19823,89%,northbound,demon whale,2/1405
19824,100%+,northbound,unknown,2/1405
19825,27%,northbound,merpeople,2/1405
19826,81%,southbound,nessie,2/1405
19827,13%,southbound,pirates,2/1405
19828,43%,northbound,merpeople,2/1405
19829,100%+,southbound,unknown,2/1405
19830,63%,northbound,kraken,2/1405
19831,100%+,northbound,unknown,2/1405
19832,88%,southbound,nessie,2/1405
19833,45%,northbound,kraken,2/1405
19834,56%,southbound,merpeople,2/1405
19835,85%,southbound,water elemental,2/1405
19836,59%,northbound,kraken,2/1405
19837,24%,southbound,sharks,2/1405
19838,11%,southbound,harpy,2/1405
19839,28%,northbound,crabmonsters,2/1405
19840,21%,northbound,pirates,2/1405
19841,10%,northbound,harpy,2/1405
19842,100%+,southbound,unknown,2/1405
19843,100%+,southbound,unknown,2/1405
19844,74%,northbound,water elemental,2/1405
19845,14%,southbound,pirates,2/1405
19846,51%,southbound,merpeople,2/1405
19847,100%+,southbound,unknown,2/1405
19848,29%,northbound,merpeople,2/1405
19849,44%,northbound,kraken,2/1405
19850,13%,northbound,merpeople,2/1405
19851,28%,southbound,merpeople,2/1405
19852,22%,southbound,sharks,2/1405
19853,16%,northbound,harpy,2/1405
19854,100%+,northbound,unknown,2/1405
19855,66%,southbound,nessie,2/1405
19856,25%,southbound,pirates,2/1405
19857,14%,southbound,pirates,2/1405
19858,16%,southbound,pirates,2/1405
19859,23%,southbound,sharks,2/1405
19860,52%,southbound,merpeople,2/1405
19861,19%,northbound,crabmonsters,2/1405
19862,35%,southbound,merpeople,2/1405
19863,74%,northbound,water elemental,2/1405
19864,22%,northbound,pirates,2/1405
19865,100%+,northbound,unknown,2/1405
19866,100%+,northbound,unknown,2/1405
19867,75%,southbound,water elemental,2/1405
19868,40%,southbound,pirates,2/1405
19869,100%+,northbound,unknown,2/1405
19870,17%,northbound,pirates,2/1405
19871,54%,southbound,kraken,2/1405
19872,68%,southbound,kraken,2/1405
19873,26%,northbound,sharks,2/1405
19874,44%,southbound,kraken,2/1405
19875,35%,southbound,sharks,2/1405
19876,20%,northbound,pirates,2/1405
19877,80%,southbound,water elemental,2/1405
19878,84%,northbound,water elemental,2/1405
19879,21%,southbound,sharks,2/1405
19880,22%,northbound,sharks,2/1405
19881,100%+,northbound,unknown,2/1405
19882,27%,southbound,sharks,2/1405
19883,74%,southbound,water elemental,2/1405
19884,15%,northbound,sharks,2/1405
19885,37%,southbound,sharks,2/1405
19886,24%,southbound,sharks,2/1405
19887,78%,northbound,water elemental,2/1405
19888,9%,northbound,harpy,2/1405
19889,82%,southbound,water elemental,2/1405
19890,46%,northbound,merpeople,2/1405
19891,81%,northbound,nessie,2/1405
19892,45%,northbound,crabmonsters,2/1405
19893,22%,southbound,sharks,2/1405
19894,100%+,southbound,unknown,2/1405
19895,66%,southbound,merpeople,2/1405
19896,100%+,northbound,unknown,2/1405
19897,64%,northbound,merpeople,2/1405
19898,16%,southbound,pirates,2/1405
19899,44%,southbound,kraken,2/1405
19900,41%,northbound,pirates,2/1405
19901,56%,southbound,merpeople,2/1405
19902,31%,southbound,sharks,2/1405
19903,30%,northbound,sharks,2/1405
19904,90%,southbound,nessie,2/1405
19905,10%,northbound,pirates,2/1405
19906,48%,southbound,kraken,2/1405
19907,97%,southbound,demon whale,2/1405
19908,77%,northbound,water elemental,2/1405
19909,25%,southbound,sharks,2/1405
19910,82%,northbound,water elemental,2/1405
19911,18%,northbound,pirates,2/1405
19912,22%,southbound,pirates,2/1405
19913,99%,southbound,demon whale,2/1405
19914,25%,southbound,sharks,2/1405
19915,24%,southbound,pirates,2/1405
19916,16%,southbound,pirates,2/1405
19917,62%,southbound,kraken,2/1405
19918,51%,southbound,merpeople,2/1405
19919,77%,southbound,water elemental,2/1405
19920,7%,northbound,sharks,2/1405
19921,21%,northbound,harpy,2/1405
19922,22%,northbound,pirates,2/1405
19923,84%,northbound,water elemental,2/1405
19924,39%,northbound,merpeople,2/1405
19925,76%,southbound,water elemental,2/1405
19926,54%,southbound,kraken,2/1405
19927,75%,northbound,water elemental,2/1405
19928,26%,southbound,merpeople,2/1405
19929,100%+,southbound,unknown,2/1405
19930,74%,southbound,water elemental,2/1405
19931,38%,southbound,pirates,2/1405
19932,92%,southbound,merpeople,2/1405
19933,95%,southbound,nessie,2/1405
19934,100%+,northbound,unknown,2/1405
19935,10%,southbound,sharks,2/1405
19936,43%,southbound,merpeople,2/1405
19937,63%,southbound,merpeople,2/1405
19938,44%,southbound,kraken,2/1405
19939,58%,northbound,kraken,2/1405
19940,58%,northbound,pirates,2/1405
19941,74%,northbound,water elemental,2/1405
19942,56%,southbound,kraken,2/1405
19943,100%+,northbound,unknown,2/1405
19944,58%,northbound,kraken,2/1405
19945,13%,northbound,sharks,2/1405
19946,37%,northbound,sharks,2/1405
19947,21%,southbound,pirates,2/1405
19948,86%,northbound,nessie,2/1405
19949,82%,northbound,water elemental,2/1405
19950,73%,northbound,demon whale,2/1405
19951,27%,northbound,sharks,2/1405
19952,49%,southbound,pirates,2/1405
19953,46%,northbound,sharks,2/1405
19954,11%,southbound,merpeople,2/1405
19955,51%,northbound,merpeople,2/1405
19956,17%,northbound,harpy,2/1405
19957,22%,northbound,pirates,2/1405
19958,75%,northbound,water elemental,2/1405
19959,79%,southbound,water elemental,2/1405
19960,27%,northbound,sharks,2/1405
19961,26%,northbound,sharks,2/1405
19962,31%,northbound,pirates,2/1405
19963,22%,southbound,pirates,2/1405
19964,13%,northbound,harpy,2/1405
19965,47%,northbound,pirates,2/1405
19966,81%,northbound,water elemental,2/1405
19967,26%,northbound,pirates,2/1405
19968,8%,southbound,harpy,2/1405
19969,100%+,southbound,unknown,2/1405
19970,15%,northbound,harpy,2/1405
19971,10%,northbound,harpy,2/1405
19972,12%,southbound,harpy,2/1405
19973,80%,southbound,water elemental,2/1405
19974,58%,northbound,kraken,2/1405
19975,16%,northbound,pirates,3/1405
19976,63%,southbound,merpeople,3/1405
19977,15%,southbound,crabmonsters,3/1405
19978,100%+,southbound,unknown,3/1405
19979,18%,southbound,pirates,3/1405
19980,26%,southbound,sharks,3/1405
19981,16%,southbound,sharks,3/1405
19982,16%,northbound,pirates,3/1405
19983,26%,northbound,sharks,3/1405
19984,100%+,northbound,unknown,3/1405
19985,18%,southbound,harpy,3/1405
19986,100%+,northbound,unknown,3/1405
19987,46%,southbound,merpeople,3/1405
19988,33%,northbound,merpeople,3/1405
19989,92%,southbound,demon whale,3/1405
19990,42%,southbound,pirates,3/1405
19991,100%+,northbound,unknown,3/1405
19992,29%,northbound,sharks,3/1405
19993,56%,northbound,merpeople,3/1405
19994,21%,southbound,pirates,3/1405
19995,25%,northbound,sharks,3/1405
19996,63%,southbound,kraken,3/1405
19997,78%,northbound,merpeople,3/1405
19998,30%,northbound,sharks,3/1405
19999,46%,northbound,kraken,3/1405
20000,25%,northbound,sharks,3/1405
20001,89%,southbound,merpeople,3/1405
20002,19%,southbound,sharks,3/1405
20003,100%+,southbound,unknown,3/1405
20004,40%,southbound,merpeople,3/1405
20005,60%,southbound,kraken,3/1405
20006,95%,northbound,merpeople,3/1405
20007,15%,southbound,sharks,3/1405
20008,57%,northbound,kraken,3/1405
20009,7%,northbound,crabmonsters,3/1405
20010,50%,northbound,merpeople,3/1405
20011,58%,northbound,kraken,3/1405
20012,2%,southbound,crabmonsters,3/1405
20013,93%,northbound,crabmonsters,3/1405
20014,77%,southbound,nessie,3/1405
20015,18%,northbound,harpy,3/1405
20016,100%+,northbound,unknown,3/1405
20017,14%,southbound,pirates,3/1405
20018,77%,southbound,water elemental,3/1405
20019,20%,southbound,pirates,3/1405
20020,21%,southbound,merpeople,3/1405
20021,16%,northbound,sharks,3/1405
20022,100%+,northbound,unknown,3/1405
20023,21%,southbound,pirates,3/1405
20024,77%,southbound,nessie,3/1405
20025,30%,southbound,merpeople,3/1405
20026,80%,northbound,water elemental,3/1405
20027,100%+,southbound,unknown,3/1405
20028,22%,southbound,pirates,3/1405
20029,52%,southbound,merpeople,3/1405
20030,61%,northbound,merpeople,3/1405
20031,63%,southbound,kraken,3/1405
20032,20%,southbound,pirates,3/1405
20033,22%,northbound,sharks,3/1405
20034,100%+,southbound,unknown,3/1405
20035,56%,northbound,kraken,3/1405
20036,15%,southbound,sharks,3/1405
20037,22%,southbound,sharks,3/1405
20038,51%,northbound,merpeople,3/1405
20039,9%,southbound,pirates,3/1405
20040,100%+,southbound,unknown,3/1405
20041,17%,northbound,harpy,3/1405
20042,13%,northbound,pirates,3/1405
20043,16%,southbound,harpy,3/1405
20044,29%,southbound,sharks,3/1405
20045,31%,northbound,merpeople,3/1405
20046,38%,southbound,crabmonsters,3/1405
20047,17%,northbound,sharks,3/1405
20048,53%,southbound,sharks,3/1405
20049,62%,northbound,kraken,3/1405
20050,6%,northbound,crabmonsters,3/1405
20051,99%,southbound,demon whale,3/1405
20052,16%,southbound,pirates,3/1405
20053,83%,northbound,water elemental,3/1405
20054,23%,southbound,sharks,3/1405
20055,77%,southbound,water elemental,3/1405
20056,75%,southbound,water elemental,3/1405
20057,11%,southbound,pirates,3/1405
20058,57%,southbound,kraken,3/1405
20059,18%,southbound,sharks,3/1405
20060,17%,northbound,crabmonsters,3/1405
20061,52%,southbound,kraken,3/1405
20062,100%+,southbound,unknown,3/1405
20063,74%,northbound,water elemental,3/1405
20064,17%,northbound,pirates,3/1405
20065,9%,northbound,crabmonsters,3/1405
20066,17%,southbound,sharks,3/1405
20067,60%,southbound,merpeople,3/1405
20068,91%,northbound,nessie,3/1405
20069,100%+,northbound,unknown,3/1405
20070,79%,northbound,water elemental,3/1405
20071,100%+,northbound,unknown,3/1405
20072,70%,northbound,crabmonsters,3/1405
20073,100%+,southbound,unknown,3/1405
20074,23%,southbound,crabmonsters,3/1405
20075,38%,southbound,merpeople,3/1405
20076,56%,southbound,kraken,3/1405
20077,73%,southbound,nessie,3/1405
20078,100%+,southbound,unknown,3/1405
20079,55%,southbound,kraken,3/1405
20080,16%,northbound,harpy,3/1405
20081,22%,northbound,sharks,3/1405
20082,16%,southbound,pirates,3/1405
20083,55%,southbound,merpeople,3/1405
20084,100%+,northbound,unknown,3/1405
20085,16%,northbound,harpy,3/1405
20086,8%,northbound,harpy,3/1405
20087,100%+,southbound,unknown,3/1405
20088,17%,northbound,pirates,3/1405
20089,84%,southbound,nessie,3/1405
20090,37%,northbound,pirates,3/1405
20091,85%,southbound,nessie,3/1405
20092,86%,southbound,nessie,3/1405
20093,16%,northbound,pirates,3/1405
20094,39%,southbound,merpeople,3/1405
20095,100%+,southbound,unknown,3/1405
20096,32%,southbound,sharks,3/1405
20097,14%,northbound,pirates,3/1405
20098,83%,northbound,water elemental,3/1405
20099,57%,northbound,kraken,3/1405
20100,44%,northbound,kraken,3/1405
20101,8%,southbound,harpy,3/1405
20102,21%,northbound,merpeople,3/1405
20103,100%+,southbound,unknown,3/1405
20104,53%,northbound,kraken,3/1405
20105,65%,northbound,kraken,3/1405
20106,45%,southbound,merpeople,3/1405
20107,16%,northbound,sharks,3/1405
20108,100%+,southbound,unknown,3/1405
20109,33%,southbound,sharks,3/1405
20110,38%,southbound,pirates,3/1405
20111,79%,southbound,crabmonsters,3/1405
20112,21%,southbound,harpy,3/1405
20113,100%+,northbound,unknown,3/1405
20114,49%,southbound,merpeople,3/1405
20115,16%,northbound,pirates,3/1405
20116,96%,southbound,nessie,3/1405
20117,24%,southbound,harpy,3/1405
20118,79%,northbound,nessie,3/1405
20119,100%+,northbound,unknown,3/1405
20120,63%,northbound,kraken,3/1405
20121,6%,northbound,harpy,3/1405
20122,33%,southbound,pirates,3/1405
20123,18%,southbound,sharks,3/1405
20124,100%+,southbound,unknown,3/1405
20125,27%,northbound,pirates,3/1405
20126,81%,northbound,water elemental,3/1405
20127,29%,southbound,sharks,3/1405
20128,90%,southbound,merpeople,3/1405
20129,16%,southbound,pirates,3/1405
20130,9%,southbound,harpy,3/1405
20131,55%,southbound,kraken,3/1405
20132,75%,northbound,water elemental,3/1405
20133,82%,northbound,water elemental,3/1405
20134,20%,southbound,harpy,3/1405
20135,37%,southbound,sharks,3/1405
20136,37%,northbound,crabmonsters,3/1405
20137,8%,northbound,pirates,3/1405
20138,51%,southbound,kraken,3/1405
20139,32%,southbound,crabmonsters,3/1405
20140,18%,northbound,pirates,3/1405
20141,93%,northbound,demon whale,3/1405
20142,23%,northbound,pirates,3/1405
20143,19%,southbound,pirates,3/1405
20144,40%,northbound,merpeople,3/1405
20145,18%,southbound,pirates,3/1405
20146,14%,northbound,pirates,3/1405
20147,22%,northbound,pirates,3/1405
20148,33%,northbound,sharks,3/1405
20149,36%,northbound,pirates,3/1405
20150,56%,southbound,merpeople,3/1405
20151,60%,northbound,kraken,3/1405
20152,29%,southbound,sharks,3/1405
20153,28%,southbound,sharks,3/1405
20154,15%,northbound,pirates,3/1405
20155,13%,northbound,pirates,3/1405
20156,100%+,southbound,unknown,3/1405
20157,100%+,southbound,unknown,3/1405
20158,47%,northbound,pirates,4/1405
20159,16%,northbound,sharks,4/1405
20160,59%,southbound,kraken,4/1405
20161,27%,southbound,merpeople,4/1405
20162,31%,southbound,crabmonsters,4/1405
20163,25%,southbound,crabmonsters,4/1405
20164,13%,northbound,pirates,4/1405
20165,69%,southbound,crabmonsters,4/1405
20166,62%,southbound,kraken,4/1405
20167,75%,northbound,water elemental,4/1405
20168,22%,northbound,harpy,4/1405
20169,33%,southbound,merpeople,4/1405
20170,100%+,southbound,unknown,4/1405
20171,25%,southbound,sharks,4/1405
20172,11%,southbound,pirates,4/1405
20173,57%,southbound,merpeople,4/1405
20174,9%,southbound,harpy,4/1405
20175,54%,northbound,merpeople,4/1405
20176,8%,southbound,pirates,4/1405
20177,65%,southbound,merpeople,4/1405
20178,18%,southbound,merpeople,4/1405
20179,24%,northbound,sharks,4/1405
20180,15%,northbound,pirates,4/1405
20181,12%,northbound,pirates,4/1405
20182,92%,northbound,crabmonsters,4/1405
20183,11%,northbound,harpy,4/1405
20184,100%+,northbound,unknown,4/1405
20185,18%,northbound,pirates,4/1405
20186,100%+,northbound,unknown,4/1405
20187,25%,southbound,sharks,4/1405
20188,75%,southbound,nessie,4/1405
20189,23%,southbound,sharks,4/1405
20190,32%,northbound,sharks,4/1405
20191,100%+,northbound,unknown,4/1405
20192,47%,northbound,kraken,4/1405
20193,15%,northbound,harpy,4/1405
20194,24%,northbound,sharks,4/1405
20195,82%,southbound,water elemental,4/1405
20196,15%,southbound,harpy,4/1405
20197,17%,southbound,pirates,4/1405
20198,100%+,northbound,unknown,4/1405
20199,22%,northbound,sharks,4/1405
20200,92%,southbound,nessie,4/1405
20201,42%,northbound,pirates,4/1405
20202,26%,northbound,sharks,4/1405
20203,16%,southbound,pirates,4/1405
20204,39%,northbound,merpeople,4/1405
20205,57%,northbound,kraken,4/1405
20206,40%,southbound,pirates,4/1405
20207,48%,northbound,kraken,4/1405
20208,60%,northbound,kraken,4/1405
20209,18%,northbound,pirates,4/1405
20210,19%,southbound,sharks,4/1405
20211,64%,northbound,nessie,4/1405
20212,12%,northbound,pirates,4/1405
20213,17%,southbound,pirates,4/1405
20214,49%,northbound,kraken,4/1405
20215,8%,northbound,harpy,4/1405
20216,13%,southbound,pirates,4/1405
20217,35%,northbound,merpeople,4/1405
20218,45%,southbound,pirates,4/1405
20219,35%,southbound,pirates,4/1405
20220,15%,northbound,pirates,4/1405
20221,73%,southbound,nessie,4/1405
20222,16%,southbound,pirates,4/1405
20223,12%,northbound,pirates,4/1405
20224,22%,southbound,harpy,4/1405
20225,75%,northbound,merpeople,4/1405
20226,100%+,northbound,unknown,4/1405
20227,100%+,northbound,unknown,4/1405
20228,51%,northbound,kraken,4/1405
20229,22%,northbound,sharks,4/1405
20230,81%,northbound,water elemental,4/1405
20231,95%,northbound,demon whale,4/1405
20232,38%,northbound,sharks,4/1405
20233,58%,northbound,merpeople,4/1405
20234,28%,northbound,pirates,4/1405
20235,50%,northbound,merpeople,4/1405
20236,78%,southbound,water elemental,4/1405
20237,94%,northbound,merpeople,4/1405
20238,84%,southbound,water elemental,4/1405
20239,100%+,southbound,unknown,4/1405
20240,75%,southbound,nessie,4/1405
20241,68%,northbound,kraken,4/1405
20242,79%,southbound,water elemental,4/1405
20243,39%,southbound,pirates,4/1405
20244,74%,southbound,water elemental,4/1405
20245,20%,southbound,harpy,4/1405
20246,25%,southbound,sharks,4/1405
20247,83%,southbound,water elemental,4/1405
20248,30%,southbound,merpeople,4/1405
20249,20%,northbound,pirates,4/1405
20250,9%,northbound,sharks,4/1405
20251,27%,southbound,pirates,4/1405
20252,33%,southbound,sharks,4/1405
20253,19%,northbound,harpy,4/1405
20254,14%,northbound,crabmonsters,4/1405
20255,23%,southbound,sharks,4/1405
20256,9%,southbound,harpy,4/1405
20257,78%,southbound,water elemental,4/1405
20258,50%,southbound,pirates,4/1405
20259,100%+,northbound,unknown,4/1405
20260,52%,southbound,kraken,4/1405
20261,11%,southbound,harpy,4/1405
20262,100%+,northbound,unknown,4/1405
20263,8%,southbound,pirates,4/1405
20264,14%,southbound,sharks,4/1405
20265,22%,northbound,sharks,4/1405
20266,26%,southbound,sharks,4/1405
20267,83%,northbound,nessie,4/1405
20268,80%,northbound,water elemental,4/1405
20269,60%,northbound,kraken,4/1405
20270,67%,southbound,merpeople,4/1405
20271,80%,northbound,water elemental,4/1405
20272,43%,northbound,sharks,4/1405
20273,88%,southbound,nessie,4/1405
20274,15%,northbound,sharks,4/1405
20275,15%,southbound,harpy,4/1405
20276,43%,southbound,kraken,4/1405
20277,25%,northbound,sharks,4/1405
20278,13%,southbound,sharks,4/1405
20279,64%,northbound,merpeople,4/1405
20280,13%,southbound,pirates,4/1405
20281,100%+,northbound,unknown,4/1405
20282,20%,southbound,pirates,4/1405
20283,12%,northbound,pirates,4/1405
20284,49%,southbound,merpeople,4/1405
20285,23%,southbound,harpy,4/1405
20286,37%,northbound,sharks,4/1405
20287,84%,northbound,crabmonsters,4/1405
20288,44%,southbound,kraken,4/1405
20289,49%,northbound,merpeople,4/1405
20290,16%,southbound,pirates,4/1405
20291,8%,southbound,pirates,4/1405
20292,79%,southbound,nessie,4/1405
20293,79%,northbound,water elemental,4/1405
20294,45%,southbound,merpeople,4/1405
20295,26%,southbound,pirates,4/1405
20296,30%,northbound,merpeople,4/1405
20297,21%,northbound,pirates,4/1405
20298,13%,northbound,pirates,4/1405
20299,21%,northbound,pirates,4/1405
20300,21%,northbound,harpy,4/1405
20301,16%,southbound,harpy,4/1405
20302,16%,northbound,sharks,4/1405
20303,89%,southbound,merpeople,4/1405
20304,80%,southbound,nessie,4/1405
20305,21%,northbound,sharks,4/1405
20306,100%+,northbound,unknown,4/1405
20307,14%,northbound,pirates,4/1405
20308,55%,southbound,kraken,4/1405
20309,25%,northbound,sharks,4/1405
20310,100%+,southbound,unknown,4/1405
20311,80%,southbound,nessie,4/1405
20312,19%,southbound,sharks,4/1405
20313,11%,southbound,pirates,4/1405
20314,81%,northbound,water elemental,4/1405
20315,12%,northbound,harpy,4/1405
20316,100%+,southbound,unknown,4/1405
20317,100%+,southbound,unknown,4/1405
20318,75%,northbound,water elemental,4/1405
20319,94%,northbound,merpeople,4/1405
20320,14%,northbound,sharks,4/1405
20321,21%,southbound,pirates,4/1405
20322,15%,northbound,sharks,4/1405
20323,32%,southbound,sharks,4/1405
20324,94%,southbound,crabmonsters,4/1405
20325,14%,southbound,merpeople,4/1405
20326,19%,southbound,harpy,4/1405
20327,100%+,northbound,unknown,4/1405
20328,30%,southbound,sharks,4/1405
20329,48%,northbound,kraken,4/1405
20330,39%,northbound,sharks,4/1405
20331,16%,northbound,pirates,4/1405
20332,12%,northbound,harpy,4/1405
20333,16%,southbound,crabmonsters,4/1405
20334,77%,northbound,nessie,5/1405
20335,48%,northbound,kraken,5/1405
20336,17%,northbound,pirates,5/1405
20337,48%,southbound,merpeople,5/1405
20338,100%+,northbound,unknown,5/1405
20339,15%,southbound,harpy,5/1405
20340,22%,northbound,sharks,5/1405
20341,21%,northbound,pirates,5/1405
20342,23%,southbound,sharks,5/1405
20343,21%,northbound,pirates,5/1405
20344,60%,northbound,merpeople,5/1405
20345,62%,southbound,kraken,5/1405
20346,16%,northbound,pirates,5/1405
20347,24%,southbound,merpeople,5/1405
20348,24%,northbound,sharks,5/1405
20349,25%,northbound,merpeople,5/1405
20350,21%,northbound,sharks,5/1405
20351,21%,northbound,pirates,5/1405
20352,64%,southbound,merpeople,5/1405
20353,19%,southbound,pirates,5/1405
20354,20%,northbound,sharks,5/1405
20355,24%,northbound,merpeople,5/1405
20356,14%,southbound,sharks,5/1405
20357,18%,northbound,sharks,5/1405
20358,36%,northbound,merpeople,5/1405
20359,58%,southbound,kraken,5/1405
20360,15%,southbound,harpy,5/1405
20361,15%,southbound,harpy,5/1405
20362,19%,southbound,sharks,5/1405
20363,26%,southbound,sharks,5/1405
20364,19%,southbound,harpy,5/1405
20365,64%,northbound,merpeople,5/1405
20366,56%,northbound,kraken,5/1405
20367,25%,southbound,pirates,5/1405
20368,21%,northbound,pirates,5/1405
20369,50%,northbound,merpeople,5/1405
20370,24%,northbound,sharks,5/1405
20371,19%,southbound,pirates,5/1405
20372,81%,southbound,water elemental,5/1405
20373,17%,southbound,sharks,5/1405
20374,76%,northbound,water elemental,5/1405
20375,79%,southbound,water elemental,5/1405
20376,76%,southbound,nessie,5/1405
20377,80%,southbound,water elemental,5/1405
20378,81%,southbound,demon whale,5/1405
20379,53%,southbound,merpeople,5/1405
20380,44%,southbound,kraken,5/1405
20381,12%,northbound,crabmonsters,5/1405
20382,100%+,northbound,unknown,5/1405
20383,25%,northbound,merpeople,5/1405
20384,75%,northbound,water elemental,5/1405
20385,85%,southbound,water elemental,5/1405
20386,5%,northbound,crabmonsters,5/1405
20387,38%,southbound,pirates,5/1405
20388,21%,southbound,sharks,5/1405
20389,100%+,northbound,unknown,5/1405
